dataset,variant,complete_folds,expected_folds,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,macro_f1_mean,macro_f1_std,weighted_f1_mean,weighted_f1_std
Sleep-EDF-20,linear_entanglement,20,20,90.52850223273373,3.5993278354121503,74.23776830112485,6.560887620038779,71.250194856963,6.54601107985751,90.93037809094264,3.1863856745273105
Sleep-EDF-20,no_reupload,20,20,90.2841452301196,3.9866586248446096,75.34323430791812,5.946954950060206,71.8103002407488,6.320572736055986,90.91454366886772,3.305864725920579
Sleep-EDF-20,frozen_reupload_scale,20,20,91.02252697753622,3.2989706349670196,76.53501457281797,5.61409733382182,73.18829743315436,5.668071408969738,91.55410244675345,2.881049125059504
Sleep-EDF-20,uniform_channel_pool,20,20,91.26659937805219,3.1969156624366444,76.42591819156362,4.914004476028112,73.44661355892694,4.627560396901345,91.67851520856702,2.7341305776822225
Sleep-EDF-20,max_channel_pool,20,20,90.73084197563614,3.478192052648062,75.21390240794969,5.789223873484278,72.52641447346177,5.1092646253853,91.16068872598368,3.118338690347883
Sleep-EDF-20,no_bilstm,20,20,89.37032766937855,4.098098000734891,72.94557335514625,5.269464386026474,69.64541043274207,5.629628565939781,89.84188432655179,3.4849049491598163
Sleep-EDF-20,endpoint_bilstm,20,20,90.98669505170439,3.026657009808586,75.91090078618784,5.498855950911183,73.00215790180815,5.257509767646213,91.48787250453245,2.6581062951681376
Sleep-EDF-20,mean_bilstm,20,20,90.82719358824247,3.2321258847319427,76.16137955184264,6.078155567280972,72.7326296760763,5.785084029069986,91.36607259763952,2.8623813703692216
Sleep-EDF-20,linear_classifier,20,20,90.54469470621392,3.610644395082831,74.07831223279666,5.890173733905856,71.04020057060679,6.522847923462864,90.90561550292226,3.188496328072958
Sleep-EDF-20,mlp_classifier,20,20,90.72786686225338,3.539287083217434,75.48859863350968,6.235441959383009,72.31495838523523,5.901438985944831,91.20300971189042,3.039426849564951
Sleep-EDF-20,no_spectral,20,20,86.39255772308769,4.917269813827176,65.46374636531289,6.102044131833489,62.155421298620084,6.606450912051813,86.60597606254234,4.638724587907705
Sleep-EDF-20,no_bandpowers,20,20,88.13799074663615,3.766740025289959,72.85368023070365,5.2701286373406715,68.80563392025284,5.444867117470398,88.9548427317961,3.280199867364576
Sleep-EDF-20,no_entropy,20,20,89.99526002007674,2.959763608524586,74.24369727071573,5.230720774234234,70.57602677447093,5.577331264955397,90.5191037289398,2.7508655535448607
Sleep-EDF-20,no_hjorth,20,20,90.5507065644999,4.181446532956119,75.62254583862665,5.762793692179071,72.35085860447981,6.036579917748403,91.0731523801281,3.597980975168779
Sleep-EDF-20,no_hjorth_mobility,20,20,91.06414570070868,3.4880897108151627,76.5905985006304,5.838418630955166,73.32174071426633,5.929500582102431,91.55626504676657,3.027776361710472
Sleep-EDF-20,no_hjorth_complexity,20,20,90.77648734442312,4.221771094384359,75.68017195210822,5.761906548682692,72.69015322765573,6.039119346172429,91.25612984210863,3.460345753154116
Sleep-EDF-20,no_connectivity,20,20,89.82484892757087,4.932741498385913,74.88648777349208,6.529755476197501,71.68325005332386,6.424546354790701,90.48970723586567,3.8840511289000785
Sleep-EDF-20,no_mean_connectivity,20,20,90.81493575641258,3.908961553617887,75.97245699651943,5.760729841779569,72.79393224467262,5.947341513028842,91.31007750281681,3.316768529496003
Sleep-EDF-20,no_derivative_connectivity,20,20,90.39247312039365,3.9169384826286806,74.35226033195698,6.417347870049621,71.51132629325323,6.137591017646404,90.8340168102175,3.3987977166020453
